latitud,longitud,temperatura,ph,tiempo
-2.168731,-79.895,"27,96","7,13",2026-08-18 19:01:22
-2.168728,-79.895,"27,88","7,13",2026-08-18 19:01:29
-2.168719,-79.89499,"27,91","7,03",2026-08-18 19:01:36
-2.168719,-79.89498,"27,65","7,09",2026-08-18 19:01:43
-2.16873,-79.89498,"27,67","7,06",2026-08-18 19:01:49
-2.168738,-79.89499,"27,59","7,17",2026-08-18 19:01:56
-2.168734,-79.895,"27,61","7,18",2026-08-18 19:02:02
-2.168731,-79.89502,"27,68","7,12",2026-08-18 19:02:08
-2.168721,-79.89503,"27,58","6,78",2026-08-18 19:02:15
-2.168729,-79.89503,"27,55","6,90",2026-08-18 19:02:21
-2.168736,-79.89503,"27,64","7,14",2026-08-18 19:02:28
-2.168739,-79.89503,"27,65","7,13",2026-08-18 19:02:34
-2.168746,-79.89503,"27,61","7,03",2026-08-18 19:02:40
-2.168748,-79.89503,"27,58","7,09",2026-08-18 19:02:47
-2.168738,-79.89503,"27,61","7,53",2026-08-18 19:02:54
-2.168734,-79.89503,"27,60","7,18",2026-08-18 19:03:00
-2.168729,-79.89504,"27,73","6,97",2026-08-18 19:03:07
-2.168725,-79.89503,"27,87","7,12",2026-08-18 19:03:14
-2.16873,-79.89501,"27,84","7,08",2026-08-18 19:03:21
-2.168723,-79.895,"27,95","7,07",2026-08-18 19:03:27
-2.168727,-79.89501,"27,76","7,14",2026-08-18 19:03:34
-2.168736,-79.89503,"27,74","7,08",2026-08-18 19:03:40
-2.16874,-79.89503,"27,73","7,13",2026-08-18 19:03:47
-2.168742,-79.89503,"27,84","7,04",2026-08-18 19:03:54
-2.168734,-79.89502,"27,72","7,08",2026-08-18 19:04:01
-2.168736,-79.89501,"27,48","7,10",2026-08-18 19:04:07
-2.168741,-79.89501,"27,63","7,02",2026-08-18 19:04:14
-2.168741,-79.895,"27,72","7,01",2026-08-18 19:04:21
-2.168741,-79.895,"27,63","6,94",2026-08-18 19:04:27
-2.16874,-79.895,"27,70","7,01",2026-08-18 19:04:34
-2.168744,-79.89502,"27,87","7,16",2026-08-18 19:04:40
-2.168731,-79.895,"27,89","7,05",2026-08-18 19:04:47
-2.168742,-79.89501,"27,81","6,97",2026-08-18 19:04:54
-2.168747,-79.89502,"27,78","7,03",2026-08-18 19:05:01
