latitud,longitud,temperatura,ph,tiempo
-2.14565661,-79.96292465,"28,90","6,24",2026-08-20 14:18:01
-2.14566344,-79.96291465,"29,19","7,05",2026-08-20 14:18:49
-2.14566997,-79.96290465,"29,10","7,25",2026-08-20 14:19:14
-2.14567473,-79.9628951,"29,25","7,25",2026-08-20 14:19:41
-2.1456831,-79.96290562,"29,24","7,90",2026-08-20 14:19:56
-2.14567934,-79.96289854,"29,34","8,23",2026-08-20 14:20:12
-2.14567095,-79.96290024,"29,65","6,36",2026-08-20 14:20:30
-2.14567234,-79.96289578,"29,44","6,16",2026-08-20 14:20:50
-2.145672,-79.96288229,"29,61","6,64",2026-08-20 14:21:03
-2.14567493,-79.96286917,"29,62","7,08",2026-08-20 14:21:14
-2.14568377,-79.96286132,"29,57","7,26",2026-08-20 14:21:28
-2.14569061,-79.9628532,"29,69","7,17",2026-08-20 14:21:45
-2.14568197,-79.96285683,"29,41","6,84",2026-08-20 14:22:05
-2.14566976,-79.96285438,"29,25","7,09",2026-08-20 14:22:21
-2.14565661,-79.96285139,"29,32","7,25",2026-08-20 14:22:26
-2.14564345,-79.96285423,"29,32","7,20",2026-08-20 14:22:33
-2.1456354,-79.96286446,"29,23","7,15",2026-08-20 14:22:39
-2.14564605,-79.96286432,"28,98","7,21",2026-08-20 14:22:53
-2.14565809,-79.96286434,"28,97","7,31",2026-08-20 14:23:05
-2.14566877,-79.96287052,"29,14","7,26",2026-08-20 14:23:19
-2.1456719,-79.96286571,"29,12","7,27",2026-08-20 14:23:52
-2.1456825,-79.96287395,"29,32","7,25",2026-08-20 14:24:08
-2.14569579,-79.96287465,"29,11","8,02",2026-08-20 14:24:17
-2.14570877,-79.96287699,"28,98","8,23",2026-08-20 14:24:27
-2.14571281,-79.96288865,"29,14","8,22",2026-08-20 14:24:43
-2.14572406,-79.96289465,"29,03","7,21",2026-08-20 14:24:59
-2.14572059,-79.96289001,"28,78","7,23",2026-08-20 14:25:29
-2.1457096,-79.96289741,"28,90","7,18",2026-08-20 14:25:39
-2.14569623,-79.96289798,"28,98","6,95",2026-08-20 14:25:47
-2.14568277,-79.96289817,"28,96","7,19",2026-08-20 14:25:54
-2.14567258,-79.96290521,"28,88","7,28",2026-08-20 14:26:04
-2.14567295,-79.96291465,"28,76","8,14",2026-08-20 14:26:20
