latitud,longitud,temperatura,ph,tiempo
-2.1456312,-79.96289922,"26,48","8,22",2026-08-20 14:18:05
-2.14562738,-79.96288715,"26,60","7,80",2026-08-20 14:18:53
-2.1456225,-79.96287796,"26,52","7,23",2026-08-20 14:19:18
-2.14561974,-79.96286912,"26,47","7,29",2026-08-20 14:19:45
-2.14563321,-79.96286889,"26,52","7,87",2026-08-20 14:20:00
-2.14562626,-79.96286955,"26,58","7,31",2026-08-20 14:20:16
-2.14562363,-79.96287659,"26,46","7,20",2026-08-20 14:20:34
-2.14562237,-79.96287264,"26,31","6,36",2026-08-20 14:20:54
-2.14561101,-79.96286775,"26,29","7,15",2026-08-20 14:21:07
-2.14560584,-79.962855,"26,21","6,83",2026-08-20 14:21:18
-2.14560867,-79.9628439,"26,36","6,45",2026-08-20 14:21:32
-2.14560494,-79.96283275,"26,33","6,76",2026-08-20 14:21:49
-2.145603,-79.96284132,"26,27","7,18",2026-08-20 14:22:09
-2.14559505,-79.96284996,"26,34","7,95",2026-08-20 14:22:25
-2.1455929,-79.9628528,"26,32","7,21",2026-08-20 14:22:30
-2.14560488,-79.96285039,"26,37","7,16",2026-08-20 14:22:37
-2.14561929,-79.96285317,"26,33","7,28",2026-08-20 14:22:43
-2.14561709,-79.96285386,"26,38","7,68",2026-08-20 14:22:57
-2.14560772,-79.9628609,"26,32","7,25",2026-08-20 14:23:09
-2.14561076,-79.96286494,"26,41","7,61",2026-08-20 14:23:23
-2.14560969,-79.96285915,"26,27","6,34",2026-08-20 14:23:56
-2.14562418,-79.96285725,"26,31","7,24",2026-08-20 14:24:12
-2.14563228,-79.9628457,"26,26","6,47",2026-08-20 14:24:21
-2.14564162,-79.96283624,"26,19","7,23",2026-08-20 14:24:31
-2.14565534,-79.96283629,"26,06","7,61",2026-08-20 14:24:47
-2.14566848,-79.96282997,"26,24","7,24",2026-08-20 14:25:03
-2.1456634,-79.96282925,"26,37","8,10",2026-08-20 14:25:33
-2.14565961,-79.9628405,"26,30","6,30",2026-08-20 14:25:43
-2.14565448,-79.96285282,"26,29","7,29",2026-08-20 14:25:51
-2.14565025,-79.96286673,"26,32","7,61",2026-08-20 14:25:58
-2.14565113,-79.96287937,"26,40","7,97",2026-08-20 14:26:08
-2.14566016,-79.96288365,"26,48","7,26",2026-08-20 14:26:24
