latitude,longitude,temp,ph,timestamp
40.54608,-3.692217,"29,12","6,72",
40.54608,-3.69222,"29,12","6,75",
40.54608,-3.692222,"29,06","6,75",
40.54607,-3.692219,"29,12","6,77",
40.54602,-3.692192,"29,19","9,02",
40.54602,-3.692188,"29,0","18,28",
40.54601,-3.692177,"28,81","18,28",
40.54596,-3.692147,"28,56","13,78",
40.54595,-3.692138,"28,31","11,72",
40.54593,-3.692125,"28,38","18,28",
40.54588,-3.692099,"28,5","8,41",
40.54583,-3.69207,"28,62","16,8",
40.54578,-3.692035,"28,75","10,45",
40.54571,-3.691995,"28,81","7,81",
40.54567,-3.691969,"28,87","10,64",
40.54561,-3.691936,"28,87","8,19",
40.54555,-3.691901,"28,87","10,71",
40.54549,-3.691872,"28,81","13,62",
40.54548,-3.691834,"28,81","7,38",
40.5455,-3.691774,"28,81","7,58",
40.54551,-3.691781,"28,69","12,12",
40.54555,-3.691798,"28,69","7,83",
40.54559,-3.69182,"28,69","8,14",
40.54564,-3.691835,"28,62","16,78",
40.54569,-3.69186,"28,56","14,88",
40.54574,-3.691888,"28,38","8,87",
40.54578,-3.691909,"28,25","8,47",
40.54584,-3.691941,"28,19","8,44",
40.54588,-3.691961,"28,19","16,06",
40.54593,-3.691988,"28,25","11,0",
40.54598,-3.692015,"28,44","8,27",
40.54603,-3.69204,"28,5","16,04",
40.54608,-3.692061,"28,56","7,98",
40.54612,-3.692086,"28,62","7,27",
40.54614,-3.692069,"28,75","7,11",
40.54614,-3.692024,"28,81","6,99",
40.54613,-3.692003,"28,75","6,96",
40.54607,-3.691965,"28,56","6,9",
40.54603,-3.69193,"28,44","6,88",
40.54599,-3.6919,"28,44","6,86",
40.54594,-3.69187,"28,38","6,86",
40.54589,-3.691838,"28,31","6,84",
40.54585,-3.691806,"28,19","6,82",
40.54581,-3.691781,"28,19","6,83",
40.54574,-3.691741,"28,31","6,81",
40.5457,-3.691715,"28,44","6,8",
40.54566,-3.691684,"28,56","6,79",
40.54561,-3.691656,"28,62","6,81",
40.54557,-3.691625,"28,69","6,89",
40.54553,-3.691594,"28,81","6,87",
40.54552,-3.691584,"28,94","6,89",
40.54554,-3.691533,"29,0","6,89",
40.54556,-3.691517,"28,94","6,9",
40.5456,-3.691539,"28,87","6,91",
40.54564,-3.691562,"28,81","6,89",
40.54569,-3.691588,"28,75","6,89",
40.54575,-3.691613,"28,62","6,89",
40.5458,-3.691632,"28,5","6,89",
40.54585,-3.691663,"28,38","6,86",
40.54589,-3.69168,"28,31","6,84",
40.54596,-3.691709,"28,38","6,86",
40.546,-3.691732,"28,44","6,85",
40.54604,-3.691751,"28,38","6,84",
40.54609,-3.691774,"28,25","6,81",
40.54615,-3.691803,"28,19","6,83",
40.54619,-3.691821,"28,19","6,82",
40.54622,-3.691836,"28,19","6,81",
40.54622,-3.691833,"28,12","6,81",
40.54623,-3.691809,"27,94","6,81",
40.54624,-3.691778,"27,69","6,81",
40.54623,-3.69177,"27,5","6,83",
40.54619,-3.691749,"27,44","6,82",
40.54614,-3.691716,"27,37","6,78",
40.54608,-3.691681,"27,44","6,78",
40.54603,-3.691659,"27,5","6,78",
40.54598,-3.691623,"27,62","6,77",
40.54592,-3.69158,"27,69","6,78",
40.54589,-3.691553,"27,81","6,77",
40.54584,-3.691526,"27,87","6,76",
40.54578,-3.691491,"27,94","6,75",
40.54575,-3.691463,"28,06","6,74",
40.54569,-3.691426,"28,25","6,76",
40.54565,-3.691397,"28,31","6,75",
40.54559,-3.691361,"28,56","6,77",
40.54559,-3.691361,"28,81","6,76",
40.54563,-3.691311,"28,94","6,78",
40.54565,-3.691319,"29,06","6,77",
40.54571,-3.691346,"29,12","6,77",
40.54578,-3.691375,"29,19","6,77",
40.54582,-3.691393,"29,19","6,78",
40.54587,-3.691411,"29,19","6,81",
40.54591,-3.691428,"29,19","6,78",
40.54596,-3.691447,"29,19","6,77",
40.546,-3.691461,"29,19","6,86",
40.54605,-3.691471,"29,25","6,92",
40.54612,-3.691489,"29,31","6,92",
40.54617,-3.691508,"29,37","6,88",
40.54619,-3.691517,"29,56","6,88",
40.54622,-3.691527,"29,69","6,85",
40.54625,-3.691548,"29,81","6,87",
40.54625,-3.69155,"29,94","6,83",
