latitude,longitude,temp,ph,timestamp
40.5457,-3.700993,17.19,2.43,
40.54571,-3.700991,17.06,2.5,
40.54572,-3.700983,16.87,2.44,
40.54573,-3.700979,16.75,2.41,
40.54573,-3.70098,16.62,2.34,
40.54572,-3.700986,16.56,2.38,
40.54571,-3.700982,16.44,2.05,
40.54571,-3.700987,16.37,2.18,
40.54572,-3.700985,16.31,2.24,
40.54572,-3.700979,16.25,2.17,
40.54572,-3.70098,16.31,2.16,
40.54572,-3.700975,16.31,2.3,
40.54572,-3.700977,16.25,2.11,
40.54572,-3.70098,16.25,2.17,
40.54571,-3.700982,16.25,2.11,
40.54571,-3.700984,16.25,2.19,
40.54571,-3.700987,16.25,2.15,
40.54571,-3.700986,16.25,2.01,
40.54571,-3.700986,16.25,2.16,
40.54571,-3.700986,16.31,2.05,
40.54572,-3.700981,16.31,2.08,
40.54572,-3.700984,16.37,2.11,
40.54572,-3.700984,16.37,2.2,
40.54571,-3.700986,16.44,2.21,
40.54571,-3.700985,16.5,2.25,
40.54571,-3.700985,16.56,2.26,
40.54572,-3.700984,16.62,2.23,
40.54572,-3.700989,16.62,2.35,
40.54572,-3.700986,16.62,2.08,
40.54572,-3.700986,16.62,2.15,
40.54572,-3.700982,16.56,2.19,
40.54572,-3.700981,16.5,2.19,
40.54572,-3.700981,16.37,2.29,
40.54571,-3.700981,16.31,2.22,
40.5457,-3.700977,16.19,2.22,
40.5457,-3.700975,16.12,2.27,
40.5457,-3.700978,16.12,2.39,
40.5457,-3.70098,17.37,2.31,
40.5457,-3.700979,18.25,2.29,
40.5457,-3.700978,18.75,2.36,
40.5457,-3.700977,19.12,2.39,
40.5457,-3.700978,19.37,2.31,
40.5457,-3.700975,19.5,2.29,
40.5457,-3.700967,19.19,3.15,
40.5457,-3.700974,19.37,3.31,
40.5457,-3.700979,19.56,3.24,
40.5457,-3.700984,19.69,2.66,
40.5457,-3.700986,19.75,0.11,
40.5457,-3.700985,19.87,1.66,
40.5457,-3.700986,19.94,-2.54,
40.54569,-3.700981,19.94,-1.61,
40.54569,-3.700978,19.94,1.12,
40.54569,-3.700975,20.0,2.58,
40.54569,-3.700971,20.0,3.1,
40.54568,-3.700959,20.0,-5.41,
40.54568,-3.700958,20.0,1.18,
40.54568,-3.700956,20.0,2.7,
40.54568,-3.700964,20.0,1.91,
40.54568,-3.700977,20.0,1.93,
40.54568,-3.700985,19.94,0.53,
40.54568,-3.700989,20.0,2.7,
40.54568,-3.700988,20.0,3.11,
40.54568,-3.700993,19.94,2.29,
40.54568,-3.700995,20.0,-2.1,
40.54568,-3.700998,20.0,0.06,
40.54568,-3.700998,20.06,2.74,
40.54567,-3.700996,20.06,3.21,
40.54567,-3.700995,20.0,1.2,
40.54568,-3.700995,20.06,-4.25,
40.54567,-3.700995,20.0,1.3,
40.54567,-3.701002,20.0,-3.57,
40.54567,-3.701011,20.0,-2.5,
40.54567,-3.701022,20.0,-4.22,
40.54567,-3.701026,20.0,-4.41,
40.54567,-3.701034,20.0,-2.74,
40.54567,-3.701041,20.0,-6.07,
40.54566,-3.701067,20.0,2.71,
40.54566,-3.701072,20.06,-2.58,
40.54566,-3.701085,20.0,-4.06,
40.54566,-3.701096,20.06,-2.25,
40.54565,-3.701107,20.06,0.22,
40.54565,-3.70111,20.06,-4.88,
40.54564,-3.701101,20.06,-0.12,
40.54563,-3.701109,20.0,-5.8,
40.54562,-3.701126,20.0,-4.42,
40.54562,-3.701125,20.0,-4.16,
40.54562,-3.701117,20.0,-3.78,
40.54562,-3.701097,20.0,-4.73,
40.54563,-3.701081,19.94,-3.36,
40.54564,-3.701068,19.94,2.79,
40.54564,-3.70107,20.0,-4.12,
40.54564,-3.701061,20.0,-4.74,
40.54563,-3.701052,20.0,-5.07,
40.54563,-3.701036,20.0,-6.07,
40.54564,-3.701016,19.94,-2.75,
40.54565,-3.701005,20.0,-3.66,
40.54565,-3.700991,20.0,-3.37,
40.54564,-3.700979,20.0,-5.65,
40.54564,-3.700987,20.0,0.86,
40.54564,-3.701005,20.0,-3.57,
40.54565,-3.701007,20.0,-3.79,
40.54565,-3.701014,20.0,-4.25,
40.54564,-3.701029,20.0,-4.07,
40.54564,-3.701038,20.0,-2.36,
40.54564,-3.701051,20.0,-3.72,
40.54564,-3.701079,20.0,2.78,
40.54564,-3.701081,20.0,3.08,
40.54564,-3.701081,20.0,3.27,
40.54564,-3.701082,20.0,3.33,
40.54564,-3.701083,20.0,3.43,
40.54564,-3.701083,20.06,2.4,
40.54565,-3.701092,20.06,0.99,
40.54565,-3.701097,20.06,1.46,
40.54565,-3.7011,20.06,2.58,
